name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h
Bitcoin,btc,96540.0,1913960563225,23366477170,-0.61647
Ethereum,eth,2648.69,319262798508,17190169960,-0.44327
XRP,xrp,2.46,142123431080,4032225393,1.66142
Tether,usdt,1.0,141881176159,32438983059,-0.01936
Solana,sol,198.67,96912385385,4426993573,-2.05693
BNB,bnb,634.91,92624525987,1341854413,3.70689
USDC,usdc,0.999996,56389502504,4430976409,0.00681
Dogecoin,doge,0.257396,38120360588,1483234058,1.80178
Cardano,ada,0.792201,28453482381,1603503233,12.97641
Lido Staked Ether,steth,2648.59,24900544511,82971762,-0.1362
TRON,trx,0.244642,21062190553,768512999,1.71279
Wrapped Bitcoin,wbtc,96372.0,12444045623,238741803,-0.44211
Chainlink,link,18.98,12109301517,537046731,2.12454
Avalanche,avax,25.96,10683512132,341060959,2.03708
Wrapped stETH,wsteth,3165.55,10644823551,58738680,-0.04756
Sui,sui,3.44,10632455342,1370373656,6.27844
Stellar,xlm,0.328212,10039145935,339464203,4.63029
Toncoin,ton,3.78,9435894533,139849260,-0.88647
Shiba Inu,shib,1.587e-05,9350216954,245375618,0.01128
Litecoin,ltc,123.86,9346479464,1925755912,3.47997
LEO Token,leo,9.8,9057721496,480940,-0.79738
Hedera,hbar,0.236207,9038469807,299019565,1.24433
USDS,usds,0.999639,8531781568,12320865,-0.15107
Hyperliquid,hype,24.04,8070618729,113408311,1.56835
WETH,weth,2650.85,7810146823,877252959,-0.38414
Bitget Token,bgb,6.37,7640879694,217033813,-1.00975
Polkadot,dot,4.95,7533411345,248671828,2.00664
Bitcoin Cash,bch,335.19,6646413204,144550654,1.24223
Ethena USDe,usde,1.0,6043820556,146896415,0.01165
Uniswap,uni,9.65,5784636825,305459366,3.11348
MANTRA,om,5.97,5776281671,218978679,-1.55798
Wrapped eETH,weeth,2806.79,5338629782,11870672,-0.08662
Ondo,ondo,1.36,4308986587,378231539,2.14096
Pepe,pepe,9.92e-06,4175459168,878844135,2.20956
Monero,xmr,219.84,4054478892,70777374,-1.34475
WhiteBIT Coin,wbt,27.57,3973281710,15849194,0.08694
NEAR Protocol,near,3.29,3891828884,187828169,2.76956
Aave,aave,248.94,3747750125,359690480,-0.33577
Dai,dai,0.999871,3487137552,194696615,0.02651
Mantle,mnt,1.029,3463146274,111797293,0.74702
Internet Computer,icp,7.19,3450602094,99453442,1.90411
Aptos,apt,5.98,3436661658,276397922,-4.06934
Bittensor,tao,414.34,3408583883,219341948,5.78927
sUSDS,susds,1.037,3360050756,795751,0.41824
Ethereum Classic,etc,20.65,3112862854,97227641,0.48256
Official Trump,trump,15.55,3108344545,819988917,-3.80331
OKB,okb,50.72,3040913975,12886964,5.81288
Gate,gt,21.95,2760644908,17357929,2.23276
VeChain,vet,0.03401231,2755051933,52008860,2.33115
POL (ex-MATIC),pol,0.314138,2686147167,86130096,2.56428
